"artifact","sha256"
"run_beta_parity.R","9426160136f5f257f5336c03e184c992fd1bfc3d0268e32c57ceee8c24071fee"
"parity_worker.R","ece768f3f39b337017bb8c87be57b95ef618fc1d3281eab65e0d3e3d935c9712"
"launch_parity.sh","b7f2e3b4ee73389c52083babd30a958b444a4de29131a82092f7b916e25668cd"
"aggregate_parity.R","3686c9d785c806f589434a0184d9a176e8d8fdf5ae110fc21818e2709c919372"
"diag_worker.R","baacd14eb9e6fbd2970e056c07d42729a8dc58234203803ce93f00e363f56f7f"
"finalize_diag.R","158911211c73a2e07bcaa5f4b7711fbe93b89be4c5b1daac978e4cc011c6487f"
"parity_by_condition.csv","151b11c5e93203c1685242bc8de9bed52f7f5b193d694dc4c7415635164b3081"
"parity_by_stratum.csv","3d65821de98d5849de293709e859939dd2554a943b21ae9cbeb81d9a03dce6e7"
"parity_per_rep.csv","24d5dfe2a11c5a3bb0d5d96ea39ab0873216bb6091a82e2928c653d0b17590ab"
"betaW_reproduction_check.csv","1c5dc8db05f48cf67e4485178f974f9e96a4853603652c00d73320da2ac530a3"
"diag_summary.csv","47399cc45a993b5dbd42c227a4ab3f39c94806079dc65591a570691aafb3e328"
"shards/ (rolled hash over 4000 files, sorted path order)","fa42d78c5469ab5c4025e257a6f3dc51d1fd4144c1b03314d0c4c462e7f0d834"
"codebase-v2/sim/dgm/dgm_gaussian.R","71267fad398d700e002f015dd2d54e20762f2136011c2930fc55115166869a98"
"codebase-v2/sim/dgm/dgm_sampling_weights.R","15cd8c746d9b1c2a419f0991ec3f56cc2220d0d34498f8f70aead1792346cd02"
"codebase-v2/sim/run/seeds.R","cd3f9f36a5f4e123a01e5531aa75c38546f80c5332e4bff2d7fd44efe0b1f00b"
"codebase-v2/sim/grid/design.csv","08085b1e05e42fce81a8163a417e15464156210d2e0dee0a41deaa0d3f5e4752"
